sentence,label
"(""Jaga Kucing Saya"") adalah filem kecil yang benar-benar bagus yang membawa kita pada pemeriksaan kehidupan dewasa muda di bandar Korea Selatan melalui hati dan fikiran lima pengetua.",4
"Ini tidak menegaskan kehidupan - itu kasar dan jahat, tetapi saya menyukainya.",3
"Apa kekurangan ""Empire"" yang ditebus dengan sepenuh hati.",4
"Ringan, konyol, difoto dengan warna dan kedalaman, dan lebih tepat waktu.",5
"Tetapi kebodohan lidah-di-pipi selalu menjadi bagian dari kebiasaan. Wilde's droll whimsy membantu ""Menjadi Earnest"" mengatasi kelemahannya dan gangguan kreatif Parker ...",4
Sebilangan besar daya tarikan filem ini terletak pada kelucuan Stuart dan Margolo.,4
Wajah animasi komputer mereka sangat ekspresif.,4
"Jalan Ice Age paling dekat, bagaimanapun, adalah jalan yang didirikan oleh syarikat gergasi Warner Bros, Chuck Jones, yang meninggal beberapa minggu sebelum tayangan filem ini.",3
"... dibumbui dengan humor ('Saya berbicara fasih fasih,' menasihati Denlopp setelah pertukaran yang agak erat dengan orang asing) dan kemas kini yang cerdik (burung nuri Perak telah digantikan dengan Morph, makhluk asing comel yang meniru semua orang",4
Ada tenaga untuk Y Tu Mamá También.,4
Sebahagian besarnya berasal dari persembahan berani dan tidak dihalang oleh pelakon utamanya.,5
"""13 Percakapan"" menahan muhibahnya, tetapi agak lambat untuk mencapai titik.",3
"""Fokus Auto"" berfungsi sebagai biopik dan dokumen lelaki swingers lelaki yang tidak biasa di era Playboy",4
"Sekiranya subjek Zhang, setidaknya sampai tahap tertentu, Amerika, pendekatannya untuk bercerita mungkin disebut Iran.",3
... filem kecil masam pada intinya;,1
"merasakannya, tetapi seperti tahun 1920-an, perjalanan ke sana sangat menyeronokkan.",4
"""Cremaster 3"" harus disertakan dengan peringatan ""Untuk penggemar filem yang serius sahaja!",4
Membuat saya terkenal secara tidak sengaja - sebagai pengkritik yang mual yang terhuyung-huyung keluar dari teater dan gelap di lobi.,2
"Tetapi percaya atau tidak, ini adalah salah satu karya menggoda yang paling indah yang pernah saya lihat.",5
"García Bernal dan Talancón adalah pasangan yang sangat menarik, dan walaupun kisahnya dapat diramalkan, anda pasti ingin menyelesaikannya.",4
"... komedi spoof yang membawa banyak ketawa - kadang-kadang tergelak, kadang-kadang tergelincir dan, dengan senang hati saya, ketawa perut sesekali.",5
"(City) mengingatkan kita betapa realistisnya penampilan Robert De Niro ketika dia tidak lebih bersungguh-sungguh terlibat dalam karikatur diri tanpa malu-malu ""Analisis Ini"" (1999) dan ""Analisis Itu,"" dijanjikan (atau diancam) untuk kemudian ini",4
Kelicinan yang tidak diinginkan dari * Corpus dan penyerangan dan pembentukan semula masa dan ruang fizikal yang baik akan menjadikannya tontonan yang hebat untuk ditonton bersama anak-anak dan digunakan untuk memperkenalkan video sebagai seni.,5
"""Frailty"" bermula seperti kisah pembunuh Alkitab yang biasa, tetapi ternyata jauh berbeza (dan lebih baik) daripada kebanyakan filem dengan tema ini.",5
"Bagi mereka yang bangga dengan rasa yang canggih dan cerdas, ini mungkin tidak seperti secawan teh yang sesuai, namun hampir dijamin bahawa bahkan penonton pawagam yang paling sibuk akan menertawakan mereka selama satu setengah jam.",5
"Ini menjadi inti dari apa sebenarnya maksudnya untuk menghadapi ketakutan anda, menjadi gadis di dunia lelaki, menjadi anak lelaki yang benar-benar cinta dengan seorang gadis, dan menunggang gelombang kiasan besar yang ada dalam kehidupan - di mana sahaja",5
"Kelegaan dari filem besbol yang terlalu keras untuk menjadi mitos, filem ini adalah kisah manis dan sederhana dan akhirnya berjaya.",4
"Drama psikologi yang tajam (dan) thriller kecil yang menarik yang pastinya sesuai untuk episod ""Twilight Zone"" lama.",4
Ia mempunyai lebih dari beberapa saat yang cukup berwawasan untuk dikenang dengan penuh kasih sayang dalam labirin yang tidak menentu semasa menonton filem.,4
"Dibuka dengan beberapa olok-olok, klise dan beberapa hujung yang longgar, lakon layar hanya menjadi tersendiri pada babak kedua.",3
Permata resonan yang tidak rapi yang menyampaikan titik universal tanpa ceramah atau konfrontasi.,4
(The Cockettes) menyediakan jendela ke dalam subkultur yang cenderung untuk mengekspresikan dirinya dengan segala cara yang dapat dibayangkan.,4
"Perpaduan filem jalan raya yang cerdas, cerdas dan satira politik.",4
Raja-raja zaman moden tidak mempunyai apa-apa pada orang-orang ini mengenai skandal.,2
Hanya dalam dongeng bahawa puteri yang berkahwin dengan alasan politik hidup bahagia selamanya.,2
"Filem B yang hebat - sebenarnya, yang terbaik dalam ingatan baru-baru ini.",5
"""Birthday Girl"" adalah filem pelakon yang pertama dan paling utama.",4
Saya menjauhkan diri dari versi baru E.T.,5
"Bagi penganut pawagam Perancis, Tingkah Laku yang Aman sangat kaya dengan jangka masa kecil seperti mati dan pergi ke surga seluloid.",5
Apa yang sangat menarik tentang watak adalah kemiripan mereka dengan anak-anak sehari-hari.,4
Dengan malu-malu menggunakan lelucon penglihatan yang berkaitan dengan kencing yang bahkan boleh menyebabkan Tom Green meringis;,3
Jaring labah-labah yang tidak masuk akal.,2
"Sekiranya anda senang mendengar filem kerana anda menontonnya, dan perarakan lemah manusia yang memikat anda, anda berada di filem yang tepat.",4
Versi ini bergerak melampaui nostalgia asli untuk pengalaman filem komunal di masa lalu untuk menyedari lebih mendalam mengenai ketidakmampuan pawagam untuk mempertahankan pengalaman hidup yang sebenarnya.,3
Beberapa filem menyatu kerana ia menjadi kenangan yang jauh.,3
"Sebutkan ""Solaris"" lima tahun dari sekarang dan saya yakin mereka yang melihatnya akan mempunyai pendapat untuk dikongsi.",4
Filem Allen paling lucu dan paling disukai selama bertahun-tahun.,5
Ini adalah tontonan yang mulia seperti D.W.,5
Permata komik ini sangat menggembirakan dan juga turunannya.,5
"Lebih tepat waktunya daripada yang diimpikan oleh pengarahnya, kisah lirik yang diam-diam ini menguji sambutan samar-samar yang disampaikan oleh Iran kepada para pelarian Afghanistan yang melintasi sempadannya, yang sangat memerlukan pekerjaan dan makanan.",5
"Alur cerita yang melonjak, dibentuk oleh pengarah Peter Kosminsky menjadi kepingan tajam dan kesan yang memukau, menunjukkan semua tanda-tanda perincian yang kaya disatukan ke dalam beberapa gambar yang menggugah dan ciri watak yang mencolok.",4
"Dengan tiga penyanyi utama yang hebat, diva muda dan tampan dan tenor dan lokasi yang sangat tampan, itu cukup untuk membuat anda berharap Jacquot telah meninggalkannya sendirian dan hanya menjalani penggambaran opera tanpa semua perspektif ini.",3
"Pembikinannya dibuat dengan kasih sayang yang sangat besar, jadi kami percaya watak-watak ini saling mencintai.",5
Pasti persembahannya berbaloi.,4
"Ternyata menjadi penyataan dan narsis, mencapai beberapa pandangan jujur mengenai hubungan yang kebanyakan filem berkonsep tinggi dilapisi permen dengan jalan cerita, keadaan berharga dan bintang-bintang yang indah.",4
Menonton eksentrik ini adalah kegembiraan yang memberi inspirasi dan murni.,5
Steven Spielberg membawa kita karya lain,5
"Akhirnya, ""Baca My Lips"" yang dihasilkan Perancis adalah filem yang memahami watak mesti didahulukan.",4
Ms. Seigner dan Mr. Serrault membawa watak naturalisme segar dan tanpa paksa kepada watak mereka.,5
Allen menunjukkan bahawa dia dapat mengalahkan mana-mana pemuda yang suka membuat gambar bergerak hari ini.,4
"Filem yang bagus dengan silsilah yang kukuh baik di depan dan, lebih khusus lagi, di belakang kamera.",4
"Tidak semestinya slam-dunk dan pasti akan mengecewakan peminat aksi yang akan dipindahkan ke pinggir tempat duduk mereka dengan aksi pertama yang dinamis, ia tetap muncul sebagai kisah cinta yang menyentuh hati dan transenden.",2
Saya mendorong orang muda dan tua untuk melihat kelainan unik dan menghiburkan ini dalam kisah paus klasik - anda tidak akan menyesal!,5
Kisah detektif sastera masih merupakan kisah detektif dan penggemar whodunit tidak akan kecewa.,4
High Crimes mencuri dengan bebas dari filem lain dan menggabungkan jenis filem yang cukup berbeza sehingga tidak dapat membantu tetapi menarik perhatian penonton.,4
"Sekiranya anda peminat siri ini, anda pasti menyukainya dan mungkin mahu melihatnya dua kali.",5
Saya akan jadi .,4
"Ia meraikan percikan ketidaksesuaian kumpulan itu, melihat kembali apa yang Hibiscus sebut sebagai malaikat cahaya.",4
"Kisahnya ... sangat mengilhami, ironik, dan mengagumkan betapa sebenarnya industri rakaman yang tidak masuk akal dan berorientasikan wang.",5
Ini juga merupakan bukti integriti dan visi kumpulan ini.,4
"Diikat dengan dosis humor gelap, fotografi luaran yang indah, dan persembahan yang stabil dan penuh, No Such Thing adalah kisah kecil yang menarik.",5
"Pertunjukan Huppert untuk mencuri dan dia menjamu selera, menyalurkan giliran menyeramkan Kathy Baker sebagai ibu yang ditindas di Boston Public sebanyak 8 Augustine Wanita.",4
Nair tidak memandang ringan masalahnya.,4
Dia membiarkan setiap watak menghadapi masalah mereka secara terbuka dan jujur.,4
"Salah satu filem seram bodoh terbaik dalam ingatan baru-baru ini, dengan beberapa kejutan nyata untuk penonton yang tidak berminat.",5
Karya seorang pembuat filem yang mempunyai rahsia terpendam di tengah-tengah kisahnya dan tahu bagaimana meluangkan masa untuk mengungkapkannya.,4
Kejadian pelik membina minda penonton dan mendesak sangat.,4
"Mempunyai daya tarik tertentu, dan menghasilkan banyak kegembiraan filem-B.",4
Familiar tapi sangat menggembirakan.,4
Ngeri gelap yang mempesonakan yang membuat anda terpikat dengan keasyikan fiksyennya yang hebat.,4
"Filem ini bertujuan untuk menjadi lucu, menggembirakan dan bergerak, kadang-kadang sekaligus.",4
Sejauh mana ia berjaya sangat mengagumkan.,4
"Filem ini mengilhami semua watak, kerana arahannya dapat dicapai dengan bijak.",5
"Walaupun bukan untuk setiap selera, komedi kotor kasar perguruan ini sangat lucu untuk memulihkan kilauan francais filem Lampoon Nasional, terlalu lama dikurangkan menjadi tidak relevan langsung ke video.",4
"Sejauh luas dan kartun seperti lakon layar, ada ketepatan pemerhatian dalam karya sutradara, Frank Novak, yang membuat filem itu tetap di landaskan dalam realisme sosial yang tidak dapat disangkal.",4
"Sebagai tambahan kepada klinik lakonan Hoffman yang kuat, ini adalah drama langka yang memberikan gambaran yang baik dan bermanfaat untuk rasa sakit hati yang dirasakan oleh semua orang, atau akan merasa suatu hari nanti.",5
Prestasi Jeffrey Tambor sebagai pembasmi permainan jazz pintar adalah layak untuk Oscar.,5
"Dari rangkaian pembukaan ""Pick up the Pieces"" Purata White Band, anda dapat merasakan cinta.",4
Naluri kreatif Stevens adalah perbezaan antara ini dan filem lain mengenai lelaki dan anak patung.,4
bahawa ia mungkin menjadi komedi terbaik dan paling matang pada musim panas 2002 yang lebih banyak bercakap daripada musim ini,4
"Orang-orang tua akan menyukai filem ini, dan maksud saya dengan cara yang paling baik: Pesanan Terakhir akan menyentuh hati sesiapa sahaja yang cukup tua untuk memperoleh persahabatan selama 50 tahun.",3
Filem provokatif Meyjes mungkin disebut sebagai contoh kejahatan kejahatan.,4
Tian menekankan pengasingan watak-watak ini dengan menghadkan warna ke halaman belakang Liyan.,3
Filem ini cukup lucu sekarang dan kemudian tanpa merendahkan subjeknya.,4
bayangkan senario di mana Bergman menghampiri fatalisme Sweden menggunakan humor Gary Larson Far Side,4
"Terlalu pelik untuk dilewatkan, dan bagi orang ramai yang gelap, jauh lebih murah (dan lebih baik) daripada tiket Pink Floyd.",4
"Yang paling luar biasa bukan kerana ruang lingkup epiknya, tetapi kerana keintiman yang mengagumkan yang dicapai walaupun luasnya.",5
Ini bukan filem raksasa yang hebat.,2
"Tetapi jika anda telah membayar harga matinee dan membeli sebilangan besar popcorn, ada keseronokan yang dapat dilakukan di sini.",3
Chomp chomp!,3
The Gray Zone memberikan suara kepada sebuah kisah yang perlu didengar di lautan filem Holocaust ... tetapi filem itu mengalami kesulitan sendiri.,3
"Yang lain, lebih selaras dengan pepatah anarkis bahawa ""dorongan untuk menghancurkan juga dorongan kreatif"", atau lebih bersedia melihat dengan mata mereka sendiri, akan mendapati penggunaan teknologi Morrison sebagai ikonoklastik untuk membebaskan.",5
"Miller menceritakan kisah yang sangat menarik ini dengan sedikit keributan atau kebisingan, dengan mahir mengeluarkan ketegangan dari pendiam.",4
Time Out adalah drama eksistensial tanpa ada pretensi yang berkaitan dengan istilah tersebut.,4
Ini adalah kenikmatan penonton yang manis dan ketawa selama satu minit yang menaikkan semangat dan juga sudut mulut anda.,4
Penulis / pengarah Alexander Payne (Pemilihan) dan rakan penulisnya Jim Taylor dengan cemerlang menggunakan kemampuan mereka yang unik dan tidak kenal takut untuk melihat kegelisahan Amerika dan akhirnya tertawa.,4
Filem yang terbaik tidak hanya memanfaatkan sepenuhnya kekurangan wataknya tetapi menegaskan kebajikan tidak sempurna.,3
"Sukar untuk ditonton, tetapi filem yang hebat.",5
Fungsi animasi terbaik untuk memukul teater sejak Beauty and the Beast 11 tahun lalu.,5
Apa yang menjimatkan filem yang sangat mempengaruhi ini dari sekedar koleksi sarung tangan adalah perhatian Corcuera kepada perincian.,4
Pacino adalah yang terbaik selama ini dan Keener luar biasa.,5
Hiburan yang kuat dan menyeramkan dengan harga tiket.,4
"Dengan menjadi quixotic yang menarik, menarik dan menarik.",4
"... sangat lucu, sangat menyeronokkan ...",5
Adaptasi dibina dengan rumit dan dengan cara yang aneh menarik semua tema Orlean tanpa menjadi penyesuaian sebenar dari bukunya.,4
Sangat menyeronokkan sehingga anda mungkin tidak menyedarinya adalah pembuatan semula komedi Hollywood seperti Bapa Pengantin.,4
Moonlight Mile memberi kebebasan untuk merasakan perkara yang bertentangan.,4
"Ini bersifat sentimental tetapi merasa bebas untuk menyinggung perasaan, bersifat analitis dan kemudian menyerah kepada tidak logik wataknya, adalah tentang kesedihan dan masih mengizinkan tawa.",5
"Kemenangan sebenarnya di Igby berasal dari Philippe, yang menjadikan Oliver jauh lebih menarik daripada yang dicadangkan oleh garis watak, dan Sarandon, yang tidak boleh menjadi lebih baik sebagai pelindung WASP yang kejam tetapi sangat disukai.",4
Robin Williams dengan senang hati membuang sentimen sakarin Bicentennial Man yang memihak kepada sisi yang sama sekali gelap.,4
"Sekiranya anda rela bersenang-senang dengannya, anda tidak akan merasa ditipu oleh ketidaksetiaan yang tinggi terhadap orang yang tidak setia.",4
Australia: Land Beyond Time adalah Filem Besar yang menyeronokkan terutamanya kerana Australia adalah tempat yang sangat indah.,4
Persembahan Hoffman adalah sahih sebagai teras keberadaannya.,4
Dikatakan cukup mahir untuk mengatasi perangkapnya yang terlalu selesa.,4
"Pengalaman estetika yang memikat, pengalaman yang penuh dengan misteri dan keindahan barok yang memukau.",5
Drama yang unik menyentuh hati dan tulang lucu berkat persembahan yang bertenaga dan selalu mengejutkan oleh Rachel Griffiths.,5
Kisah kedatangan yang menawan yang mungkin juga merupakan filem naratif pertama yang benar-benar diberitahu oleh zaman tanpa wayar.,5
Apa yang boleh menjadi sinetron siang hari sebenarnya adalah pandangan yang menarik pada pengembaraan tragis wanita muda.,4
Duvall kuat seperti biasa.,5
Perlakuan sinematik tanpa had.,5
Anda harus menjadi orang yang paling keras hati untuk tidak tergerak oleh drama ini.,4
Pesona Allen yang diremehkan memberikan lebih banyak barang daripada ketulan arang batu.,4
"Diukur berdasarkan filem bertemakan yang serupa dengan pendahulu francais Oscar, The Silence of the Lambs, Red Dragon menilai sebagai filem thriller yang luar biasa.",5
Hidangan filem yang menggembirakan.,3
"Maelstrom adalah pelik dan menarik, menarik dan berbeza, kisah moral dengan rasa humor yang terpelintir.",5
Ini membuat anda percaya pemeran dan kru benar-benar menikmati diri mereka sendiri dan mempercayai filem anggaran kecil mereka.,4
"Gelap dan mengganggu, namun menarik untuk ditonton.",3
"Terlalu sering, Anak Pengantin menjadi latihan dalam berusaha untuk meramalkan kapan ""momen besar"" yang telah ditentukan akan terjadi dan bukan ""jika.",2
"Gambar itu menggunakan humor dan keyakinan yang tulus untuk menceritakan kisah tentang menemui destinasi anda dalam kehidupan, tetapi juga mengakui tempat-tempat, dan orang-orang, dari mana anda datang.",4
Satu karya jurnalistik yang kukuh yang melukiskan gambaran tentang seorang lelaki yang berguna politiknya menjadi dasar luar negeri yang mematikan.,3
Pandangan orang dalam yang hebat pada mesin pembuatan bintang di tinseltown.,4
Cukup satu jam setengah yang cukup untuk penonton keluarga.,4
Filem remaja yang suka berpesta yang melecur seperti asid.,2
Sama pusing dan aneh dan relevan hari ini seperti 270 tahun yang lalu.,5
Filem ini menawarkan premis bagaimana-jika menarik.,5
The Pianist adalah filem Roman Polanski yang mungkin dilahirkan untuk dibuat.,4
Versi ini berlaku baik untuk Stevenson dan genre sci-fi.,4
Menyakitkan dan kompleks.,4
"Cukup mungkin memenuhi keinginan kami yang paling tinggi untuk mendapatkan bayaran balik, tetapi tidak seperti banyak khayalan balas dendam, ia akhirnya memberikan.",4
Kumpulan komik terbaru Cho tidak sekejap atau segar seperti yang saya mahukan ... tetapi ia masih lucu.,4
"Dalam The Pianist, Polanski mengatakan apa yang sudah lama dia ingin katakan, menghadapi akar kegembiraan dan obsesi sendiri, dan dia tidak membiarkan apa-apa yang menghalangi.",4
"Walaupun kekurangan filem ini, kisah-kisahnya bergerak dengan tenang.",4
"Mereka yang meminati Cinema Paradiso akan menganggap pemandangan baru itu menarik, tetapi hanya sedikit yang menganggap filem ini bertambah baik.",3
"Sekiranya anda berasal dari keluarga yang makan, campur tangan, berdebat, ketawa, bertengkar dan bertengkar bersama, maka lihatlah komedi yang menggembirakan ini.",4
Penawar yang benar-benar jujur terhadap filem remaja Hollywood yang menjernihkan Clearasil atas cacat pemuda menangkap campuran yang mudah terbakar dari kesunyian dalaman dan kehebatan putus asa yang cenderung mencirikan akil baligh.,4
"Sebab untuk melihat ""Sade"" terletak pada hubungan kimia dan kompleks antara marquis (Auteil) dan Emilie (Le Besco).",3
Ini adalah pemahaman pembuat filem pasca-kem mengenai apa yang menjadikan filem B lama menjadi buruk-buruk yang menjadikan Eight Legged Freaks sebagai musim panas yang menghiburkan.,4
"Kekuatan filem ini tidak ada dalam perinciannya, tetapi dalam gambaran yang lebih besar ia melukis - budaya yang bertentangan dengan dirinya sendiri, dengan lapisan nasionalisme yang tipis yang menutupi ketakutan kita yang paling dalam dan penuh dengan media.",4
"... paling baik dilihat sebagai sejarah spekulatif, seperti penjelajahan dorongan paranoid sebagai sekuel kreatif untuk Laporan Warren.",3
"Ia mempunyai kesalahan, tetapi itu adalah filem yang baik, tidak memaafkan, sayang, dan Mandy Moore meninggalkan kesan positif.",4
"The Saigon tahun 1952 adalah gabungan kegembiraan sensual dan keganasan yang meleleh, dan The Quiet American membawa kita tepat ke pusat dunia itu.",4
"Walaupun kekurangannya, Girls Ca n't Swim mewakili ciri pertama yang menarik dan intim oleh pengarah berbakat untuk ditonton, dan ini merupakan entri yang layak dalam genre zaman remaja Perancis.",4
"Cacat, tetapi patut dilihat untuk prestasi Ambrose.",3
"Dengan Dirty Deeds, David Caesar telah melangkah ke arus utama pembuatan filem dengan jaminan yang layak mendapat pujian antarabangsa dan dengan setiap alat sinematik yang berada di bawah kendalinya - didorong oleh rasa semula jadi untuk apa yang berfungsi di layar.",5
Kelucuan dan kemanusiaan Monsoon Wedding berada dalam keadaan seimbang.,4
"Mencari dosa, gaya Amerika?",2
"Cubalah Hell House, yang mendokumentasikan nama baik orang Kristian yang berhati-hati dengan nama yang sama.",3
Filem bergerak yang menarik yang menggambarkan tragedi Amerika.,5
"Semasa sorotan komedi pergi, C.H.O yang terkenal",4
Ia sehari di pantai - dengan penyaman udara dan popcorn.,4
Frida tidak jauh berbeza dengan banyak percintaan Hollywood.,2
"Yang membezakannya adalah visi yang dibawakan oleh Taymor, pengarah avant garde Broadway's Lion King dan filem Titus.",4
"Stevens mempunyai bakat komedi dialog, filem ini beroperasi dengan baik dari unsur kejutan, dan pemeran besarnya padat.",5
"Dilakonkan oleh empat pelakon utama yang sangat baik, ini adalah filem yang bertujuan serius dan tidak mudah dilupakan.",5
Filem ini memancarkan kemurahan hati yang ditinggalkan Woody Allen.,4
"K-19: The Widowmaker adalah derivatif, panjang, dan bombastik - namun menghairankan.",4
"Ini adalah barang yang baik, keras, ganas dan sedikit eksploitatif tetapi juga dilakukan dengan baik, berwaspada secara moral dan pintar di jalan.",4
"Cineasts akan bersenang-senang dalam lelucon visual itu, seperti dalam kata-kata lisan filem itu dari segalanya dari gaya peribadi ketua Miramax Harvey Weinstein hingga gaya keras gerakan Dogma Denmark.",4
Ini adalah jendela langka dalam kolaborasi artistik.,4
"... bermula dengan janji, tetapi tersekat-sekat setelah terperangkap dalam plotnya yang kusut.",2
Mungkin filem sukan terbaik yang pernah saya tonton.,5
Masa Cho tidak ternilai harganya.,5
... menciptakan rasa viseral kehidupan wataknya dan emosi yang bertentangan yang membawanya jauh di atas ... apa yang mungkin merupakan antologi gaya Saluran Sepanjang Hayat yang melodramatik.,3
"Karya yang sensitif, bergerak, dibina dengan cemerlang.",5
Sebuah thriller edgy yang memberikan pukulan mengejutkan.,4
Sekuel yang cukup menghiburkan untuk kejutan keluarga 1994 yang boleh menjejaskan kredibiliti orang dewasa.,4
(Reno) memberikan monolog yang berjaya menggabungkan kedua-dua kengerian dan tidak masuk akal situasi dengan cara yang seimbang.,4
ada kebenaran di sini,4
"sebuah karya yang penuh keyakinan, dilakonkan dengan penuh semangat, menghancurkan emosi dan filem hebat pertama tahun 2002",5
Cerita kecil dan menyentuh mengenai tanggungjawab dan penjagaan keluarga dalam komuniti.,4
Arteta mengarahkan salah satu pelakon ensemble terbaik tahun ini,5
Pemeran von Sydow ... itu sendiri adalah strok paling beruntung Intacto.,4
"Tidak, ini tidak sepikiran seperti karya John Carpenter yang asli, tetapi ia pasti jauh lebih pintar dan lebih menakutkan daripada sekuelnya.",4
"Permata komedi kejahatan romantis yang ternyata pintar, lucu dan tidak dapat diramalkan.",5
"Menjadi salah satu pengalaman filem yang paling menarik tahun ini, membiarkan citranya berbicara untuk sementara ia memaksa anda untuk merenungkan lagi filem itu.",5
"... 2/3 pertama filem ini sangat menawan dan sangat lucu, terima kasih sebahagiannya untuk alat sinematik yang menarik (backmasking visual yang sejuk), pemeran yang mantap, dan beberapa humor yang sangat sakit dan berpusing ...",5
Filem ini membuatkan saya tersengih.,4
Ada bahagian dari kita yang tidak dapat dihiburkan dengan melihat seseorang menjauh dengan sesuatu.,4
Drama kuno yang mendasar tentang slaid seorang guru menuruni lereng ketidakjujuran yang licin setelah pertemuan dengan orang kaya dan berkuasa yang tidak lain dan tidak hanya menghina kebajikan.,4
"Apa yang tidak disukai tentang filem dengan lagu `` anak-anak '' yang merangkumi baris ""Anak tiriku tidak bermaksud, dia hanya menyesuaikan diri""?",4
"Versi berbahasa Inggeris ini ... memberi penghormatan penuh kepada pemandangan Miyazaki yang serasi dan sering mengganggu, dan kerumitan wataknya yang bertentangan.",3
Kesenangan yang diberikannya mungkin cukup untuk membuat banyak penonton filem sibuk di tengah-tengah beberapa kebimbangan yang lebih serius terhadap filem akhir tahun yang lain.,4
"Tidak semua orang akan menyambut atau menerima The Trials of Henry Kissinger sebagai potret yang setia, tetapi tidak banyak yang berpendapat bahawa perbahasan yang disertainya adalah yang perlu dan tepat pada masanya.",4
"Tidak ada kesan khas, dan tidak ada penghujung Hollywood.",4
"Seperti yang asal, versi ini dibangkitkan beberapa kedudukan di atas kiddie fantasy pablum oleh Allen's astringent wit.",4
"Walaupun berada di lingkungan Hawaii, hiasan fiksyen ilmiah dan beberapa saat slapstick gaduh, plot dasar ""Lilo"" mungkin ditarik dari skrip Shirley Temple vintage yang berlumuran air mata.",2
Dokumentari yang jujur dengan kejam mengenai perjumpaan keluarga yang sangat dinanti-nantikan yang salah kerana kejutan budaya dan keengganan untuk berempati dengan orang lain.,3
"Diisi dengan persembahan jujur dan perincian yang luar biasa, Baran adalah sebuah filem lembut dengan pukulan dramatik, satu hantu yang menghantui umat manusia.",5
"Berkilau dalam potret canggihnya dari veteran berpengalaman gosip, kekayaan, paranoia, dan selebriti Tinseltown.",3
"Dengan cara kering dan kuat, ia menyampaikan mesej yang sama dengan Kereta Api Jiri Menzel's Closely Watched dan Danis Tanovic's No Man's Land.",4
... kejayaan pembuatan filem yang kompleks secara emosi dan naratif.,5
"(Haynes ') penghormatan kepada filem-filem seperti ""All That Heaven Allows"" dan ""Imitation of Life"" melampaui mereka.",3
"Secara sederhana, `` Far From Heaven '' adalah karya agung.",5
Filem hebat dan berkesan mengenai kesunyian dan anonimiti persekitaran yang sejuk di mana begitu banyak daripada kita menghabiskan banyak masa kita.,4
"Walaupun melibatkan sejauh ini, filem ini tidak mempunyai banyak hal baru yang boleh dikatakan mengenai membesar Katolik atau, sesungguhnya, apa sahaja.",2
